iter	Passed	Remaining
0	3	1721
1	7	1900
2	10	1807
3	14	1775
4	17	1748
5	21	1775
6	25	1772
7	28	1767
8	32	1783
9	36	1770
10	40	1796
11	43	1787
12	47	1782
13	50	1766
14	54	1772
15	58	1767
16	62	1762
17	66	1767
18	69	1757
19	73	1767
20	77	1766
21	81	1768
22	85	1779
23	89	1773
24	93	1774
25	98	1788
26	101	1779
27	105	1780
28	109	1774
29	113	1775
30	116	1768
31	120	1764
32	124	1758
33	128	1756
34	132	1760
35	137	1774
36	141	1767
37	145	1766
38	148	1757
39	152	1752
40	155	1744
41	160	1745
42	163	1741
43	167	1734
44	171	1736
45	175	1732
46	179	1729
47	182	1722
48	186	1718
49	191	1719
50	194	1715
51	199	1715
52	203	1712
53	207	1710
54	211	1710
55	215	1704
56	219	1702
57	223	1700
58	226	1695
59	230	1693
60	234	1686
61	238	1681
62	241	1674
63	245	1671
64	248	1664
65	252	1660
66	256	1658
67	260	1652
68	263	1647
69	267	1641
70	270	1636
71	274	1632
72	278	1629
73	282	1625
74	285	1620
75	289	1616
76	293	1614
77	298	1617
78	302	1613
79	307	1613
80	311	1611
81	315	1608
82	319	1606
83	326	1616
84	331	1620
85	336	1621
86	340	1617
87	344	1613
88	348	1611
89	352	1606
90	357	1607
91	361	1603
92	365	1600
93	369	1595
94	373	1590
95	376	1585
96	380	1580
97	384	1576
98	389	1576
99	393	1572
100	397	1568
101	400	1564
102	404	1559
103	408	1556
104	412	1551
105	416	1547
106	420	1544
107	424	1539
108	427	1535
109	432	1531
110	437	1532
111	441	1530
112	445	1525
113	449	1522
114	453	1517
115	456	1511
116	460	1509
117	464	1504
118	468	1501
119	472	1497
120	477	1495
121	481	1492
122	486	1490
123	490	1487
124	495	1485
125	499	1483
126	504	1480
127	508	1478
128	512	1474
129	517	1471
130	521	1470
131	527	1470
132	531	1467
133	535	1463
134	539	1457
135	543	1453
136	547	1450
137	551	1446
138	555	1442
139	560	1440
140	564	1436
141	569	1435
142	573	1431
143	577	1426
144	580	1422
145	584	1416
146	587	1411
147	591	1406
148	594	1401
149	598	1396
150	601	1391
151	605	1385
152	608	1380
153	612	1375
154	617	1373
155	620	1369
156	624	1364
157	627	1358
158	630	1353
159	634	1347
160	637	1341
161	640	1336
162	644	1331
163	647	1326
164	650	1321
165	654	1316
166	658	1313
167	661	1308
168	665	1303
169	668	1297
170	672	1294
171	676	1289
172	680	1285
173	683	1280
174	687	1276
175	691	1273
176	695	1268
177	698	1263
178	702	1259
179	705	1254
180	709	1250
181	712	1245
182	716	1240
183	719	1236
184	723	1231
185	726	1226
186	729	1221
187	732	1215
188	735	1210
189	738	1205
190	742	1200
191	745	1195
192	748	1190
193	752	1186
194	755	1181
195	758	1176
196	761	1171
197	765	1167
198	768	1162
199	771	1157
200	774	1152
201	778	1148
202	781	1143
203	784	1138
204	787	1133
205	791	1129
206	794	1125
207	798	1120
208	801	1115
209	804	1111
210	807	1106
211	811	1102
212	814	1097
213	818	1093
214	821	1088
215	824	1084
216	827	1079
217	831	1075
218	834	1070
219	837	1065
220	840	1060
221	843	1056
222	847	1052
223	850	1048
224	854	1044
225	858	1040
226	861	1036
227	865	1032
228	869	1028
229	872	1024
230	877	1021
231	880	1017
232	884	1013
233	888	1009
234	891	1005
235	895	1002
236	899	997
237	902	994
238	905	989
239	909	985
240	912	981
241	916	977
242	919	972
243	922	968
244	926	964
245	930	960
246	933	955
247	936	951
248	939	946
249	942	942
250	945	937
251	948	933
252	951	929
253	955	925
254	958	921
255	963	918
256	967	915
257	971	911
258	975	907
259	979	903
260	982	899
261	986	895
262	989	891
263	992	887
264	996	883
265	999	879
266	1003	875
267	1007	872
268	1010	867
269	1014	863
270	1017	859
271	1021	856
272	1024	851
273	1027	847
274	1031	844
275	1035	840
276	1039	836
277	1042	832
278	1046	828
279	1049	824
280	1053	821
281	1057	817
282	1061	813
283	1064	809
284	1068	805
285	1071	801
286	1075	798
287	1078	794
288	1082	790
289	1085	785
290	1088	781
